variable,description,outcome_score,outcome_type,matching_keywords,is_binary,positive_rate,missing_pct,unique_count,quality_score,combined_score,eligible_for_label
var202089,Flag - Missed Minimum due Amount For 3 Consecutive Times [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),True,0.0745579843462534,0.35068537528599486,2,1.0,0.75,True
var206002,Flag - Missed Loan EMIS [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),True,0.22329103561195252,0.010710887039624207,2,1.0,0.75,True
var308002,Flag - Missed Utility Bill Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),True,0.2595352646125499,0.011014598392354573,2,1.0,0.75,True
var701002,Flag - Missed Insurance Payments/ Emis [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),True,0.1766896017633217,0.32023325031889693,2,1.0,0.75,True
var501060,Flag - BNPL Overdue Occurrence [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),True,0.09289713086074178,0.5370629087448622,2,0.7,0.5249999999999999,True
var202077,No. of Credit Card Defaults [Last 28 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.35068537528599486,11,1.0,0.95,False
var206063,No. of Loan Defaults [Last 28 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.010710887039624207,15,1.0,0.95,False
var206064,No. of Loan Defaults [Last 21 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.010710887039624207,13,1.0,0.95,False
var206065,No. of Loan Defaults [Last 14 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.010710887039624207,13,1.0,0.95,False
var206066,No. of Loan Defaults [Last 7 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.010710887039624207,11,1.0,0.95,False
var202067,No. of Missed Credit Card Bill Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,53,1.0,0.75,False
var202068,No. of Missed Credit Card Bill Payments [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,47,1.0,0.75,False
