variable,reason
var202190,Contains outcome tokens or used in label construction
var202188,Contains outcome tokens or used in label construction
var201243,Contains outcome tokens or used in label construction
var308015,Contains outcome tokens or used in label construction
var206092,Contains outcome tokens or used in label construction
var701027,Contains outcome tokens or used in label construction
var206065,Contains outcome tokens or used in label construction
var201266,Contains outcome tokens or used in label construction
var501051,Contains outcome tokens or used in label construction
var501003,Contains outcome tokens or used in label construction
var202068,Contains outcome tokens or used in label construction
var201661,Contains outcome tokens or used in label construction
var302007,Contains outcome tokens or used in label construction
var701022,Contains outcome tokens or used in label construction
var201224,Contains outcome tokens or used in label construction
var501046,Contains outcome tokens or used in label construction
var701023,Contains outcome tokens or used in label construction
var501096,Contains outcome tokens or used in label construction
var206088,Contains outcome tokens or used in label construction
var206020,Contains outcome tokens or used in label construction
var202003,Contains outcome tokens or used in label construction
var202080,Contains outcome tokens or used in label construction
var501041,Contains outcome tokens or used in label construction
var202186,Contains outcome tokens or used in label construction
var501052,Contains outcome tokens or used in label construction
var207019,Contains outcome tokens or used in label construction
var206087,Contains outcome tokens or used in label construction
var501005,Contains outcome tokens or used in label construction
var202052,Contains outcome tokens or used in label construction
var202067,Contains outcome tokens or used in label construction
var301061,Contains outcome tokens or used in label construction
var201250,Contains outcome tokens or used in label construction
var201259,Contains outcome tokens or used in label construction
var207029,Contains outcome tokens or used in label construction
var207014,Contains outcome tokens or used in label construction
var201261,Contains outcome tokens or used in label construction
var501106,Contains outcome tokens or used in label construction
var203026,Contains outcome tokens or used in label construction
var201005,Contains outcome tokens or used in label construction
var501044,Contains outcome tokens or used in label construction
var501102,Contains outcome tokens or used in label construction
var201264,Contains outcome tokens or used in label construction
var701028,Contains outcome tokens or used in label construction
var201680,Contains outcome tokens or used in label construction
var206066,Contains outcome tokens or used in label construction
var202060,Contains outcome tokens or used in label construction
var202069,Contains outcome tokens or used in label construction
var206024,Contains outcome tokens or used in label construction
var304009,Contains outcome tokens or used in label construction
var206028,Contains outcome tokens or used in label construction
var201253,Contains outcome tokens or used in label construction
var201257,Contains outcome tokens or used in label construction
var501043,Contains outcome tokens or used in label construction
var207031,Contains outcome tokens or used in label construction
var304008,Contains outcome tokens or used in label construction
var206180,Contains outcome tokens or used in label construction
var201271,Contains outcome tokens or used in label construction
var301058,Contains outcome tokens or used in label construction
var201269,Contains outcome tokens or used in label construction
